,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,Yellowknife,CA,10.4,60,75,14.99,1551304800
1,Lima,PE,80.6,65,40,11.41,1551304800
2,Busselton,AU,66.0,49,76,11.34,1551308445
3,Barrow,AR,57.57,75,76,7.87,1551308542
4,Sangar,RU,-21.5,60,8,0.83,1551308543
5,Tasiilaq,GL,30.2,80,80,16.11,1551304200
6,Sharan,AF,-6.61,44,0,1.61,1551308543
7,Leningradskiy,RU,18.82,82,0,15.26,1551308544
8,Punta Arenas,CL,53.6,81,90,10.29,1551308004
9,Broome,GB,46.4,87,0,3.36,1551308531
10,Khatanga,RU,-9.08,65,48,8.88,1551308544
11,Batagay,RU,-36.31,0,12,2.95,1551308544
12,Sorong,ID,81.6,100,48,8.99,1551308544
13,Rikitea,PF,80.02,100,8,7.2,1551308545
14,Nikolskoye,RU,36.0,80,90,8.95,1551308452
15,Jamestown,AU,76.02,78,0,10.0,1551308546
16,Mareeba,AU,80.01,83,40,12.75,1551308417
17,Narsaq,GL,41.0,41,20,49.44,1551304200
18,Tura,IN,58.47,94,92,3.96,1551308554
19,Sechura,PE,78.72,73,0,9.44,1551308554
20,Provideniya,RU,32.5,94,88,30.13,1551308554
21,Charters Towers,AU,76.38,77,32,10.78,1551308555
22,Mataura,NZ,55.0,63,92,8.99,1551308408
23,Bol,TD,79.17,33,68,12.12,1551308556
24,Butaritari,KI,82.14,100,68,16.82,1551308556
25,Broken Hill,AU,82.4,21,0,12.75,1551304800
26,Cabo San Lucas,MX,79.0,57,75,14.99,1551308416
27,Tyrma,RU,17.34,74,88,2.62,1551308556
28,Port Alfred,ZA,62.01,81,36,3.0,1551308487
29,Husavik,CA,12.99,72,48,5.99,1551308404
30,Okha,RU,7.98,81,0,9.66,1551308557
31,Mar del Plata,AR,62.43,56,44,8.1,1551308557
32,Lompoc,US,57.2,82,90,8.05,1551308438
33,Ushuaia,AR,48.2,81,75,32.21,1551304800
34,Ahipara,NZ,71.01,96,0,18.72,1551304983
35,Hamilton,BM,62.6,51,75,4.7,1551307925
36,Bonfim,BR,80.6,54,40,5.82,1551304800
37,Vaini,IN,53.65,78,0,2.39,1551308559
38,Kaitangata,NZ,55.0,61,88,15.99,1551308481
39,Weligama,LK,74.4,100,80,3.4,1551308560
40,Hambantota,LK,76.42,100,36,5.19,1551308560
41,Hobart,AU,62.6,63,0,8.05,1551308415
42,Tuy Hoa,VN,72.64,97,32,3.18,1551308560
43,Port Hardy,CA,35.6,55,75,4.7,1551304800
44,Atuona,PF,80.97,100,76,5.64,1551308561
45,Tuatapere,NZ,55.0,63,92,8.99,1551308408
46,Kukushtan,RU,21.2,85,75,6.71,1551306600
47,Kamaishi,JP,41.14,89,92,2.17,1551308562
48,Saint-Philippe,CA,9.0,50,90,3.36,1551308527
49,Puerto del Rosario,ES,64.4,77,20,16.11,1551306600
50,Tiksi,RU,-21.23,30,0,6.98,1551308566
51,Castro,CL,60.8,67,8,5.82,1551304800
52,Saint-Georges,CA,3.99,68,32,1.99,1551307614
53,New Norfolk,AU,62.6,63,0,8.05,1551308535
54,Bathsheba,BB,78.8,74,40,16.11,1551304800
55,Ribeira Grande,PT,60.8,93,75,11.41,1551304800
56,Cape Town,ZA,66.0,72,75,5.82,1551308167
57,Beringovskiy,RU,28.27,96,48,9.55,1551308567
58,Egvekinot,RU,23.01,86,80,5.08,1551308567
59,Hermanus,ZA,66.0,72,20,1.99,1551308463
60,Deqing,CN,48.0,87,75,4.47,1551308424
61,Chokurdakh,RU,-9.94,68,68,14.25,1551308573
62,Iqaluit,CA,-4.01,70,20,20.8,1551308574
63,Coos Bay,US,46.0,56,20,10.29,1551308446
64,Tacuati,PY,73.77,91,68,2.62,1551308577
65,Ashland,US,64.4,64,40,8.05,1551306900
66,Lata,IN,23.32,100,20,2.28,1551308577
67,Thompson,CA,14.0,85,75,6.93,1551307980
68,Albany,US,17.01,78,90,6.93,1551308345
69,Bluff,AU,80.07,44,48,13.13,1551308579
70,Bambous Virieux,MU,81.0,83,40,8.05,1551308340
71,Aksay,RU,35.01,85,0,4.47,1551308413
72,Mahebourg,MU,81.0,83,40,8.05,1551308340
73,Nome,US,69.8,88,90,5.82,1551308536
74,Ostrovnoy,RU,18.64,88,76,9.33,1551308580
75,Puerto Ayora,EC,87.8,62,20,9.17,1551304800
76,Matay,EG,48.39,60,0,9.66,1551308581
77,Moron,VE,68.14,89,68,3.06,1551308581
78,Huarmey,PE,74.35,61,0,3.62,1551308582
79,Zhigansk,RU,-9.13,66,48,5.08,1551308582
80,Avarua,CK,84.2,74,8,12.75,1551306600
81,Praia,BR,80.6,54,40,5.82,1551304800
82,Sept-Iles,CA,6.8,50,75,16.11,1551304800
83,Samarai,PG,81.69,100,76,10.78,1551308583
84,Acapulco,MX,84.2,66,5,13.87,1551303720
85,Deputatskiy,RU,-24.11,66,64,2.95,1551308584
86,Mandalgovi,MN,2.76,64,0,3.06,1551308588
87,Kunda,EE,32.19,87,32,9.66,1551308588
88,Awjilah,LY,49.2,87,36,9.22,1551308588
89,Constitucion,MX,81.0,7,90,3.18,1551308416
90,Kruisfontein,ZA,62.7,77,0,15.14,1551308396
91,Northam,GB,51.01,100,24,2.24,1551308530
92,Kelvington,CA,13.02,83,68,15.82,1551308589
93,Maniitsoq,GL,17.7,70,8,12.46,1551308589
94,Marsh Harbour,BS,75.97,99,92,15.82,1551308536
95,Dandong,CN,28.09,65,0,2.39,1551308590
96,Kabelvag,NO,34.0,71,48,8.99,1551308418
97,Roald,NO,41.0,80,92,9.17,1551308504
98,Nassau,DE,44.01,75,0,10.29,1551308029
99,Cap Malheureux,MU,81.0,83,40,8.05,1551308340
100,Vestmannaeyjar,IS,38.76,97,44,13.24,1551308394
101,Bethel,US,39.2,80,1,21.92,1551304560
102,Palmer,AU,89.01,39,0,5.82,1551308548
103,Norman Wells,CA,23.0,67,40,10.29,1551304800
104,Georgetown,GY,82.4,78,75,16.11,1551304800
105,Butembo,CD,58.38,91,0,3.18,1551308593
106,Komsomolskiy,RU,-2.29,46,48,14.14,1551308295
107,Adrar,DZ,48.2,42,0,6.93,1551304800
108,Port Elizabeth,US,37.4,69,90,10.29,1551308591
109,Hasaki,JP,45.0,93,75,5.82,1551307775
110,Mashhad,IR,46.4,70,40,16.11,1551306600
111,Tucumcari,US,43.0,41,1,10.29,1551308417
112,Port Moresby,PG,82.4,74,20,4.7,1551304800
113,Kaeo,NZ,71.01,65,0,10.0,1551308584
114,Talnakh,RU,-24.7,35,20,5.64,1551308598
115,Fairbanks,US,26.01,84,1,3.29,1551308407
116,Vostok,RU,22.69,73,20,2.17,1551308599
117,Los Llanos de Aridane,ES,64.4,63,12,10.29,1551307509
118,Cayenne,GF,78.8,74,92,6.93,1551306600
119,Kapaa,US,75.2,47,90,20.8,1551308600
120,Lorengau,PG,80.25,100,88,5.08,1551308603
121,Maunabo,PR,77.0,78,75,14.99,1551308566
122,Zhangjiakou,CN,13.69,71,0,2.39,1551308604
123,Campoverde,IT,53.01,85,0,5.82,1551308584
124,Killin,US,69.8,64,75,2.39,1551308590
125,Neath,GB,48.0,87,12,5.82,1551308600
126,Touros,BR,80.6,83,20,4.7,1551304800
127,Qaanaaq,GL,-20.29,86,0,2.95,1551308568
128,Leiyang,CN,43.35,100,92,5.75,1551308605
129,Salalah,OM,75.2,69,0,4.7,1551304200
130,Biak,ID,78.85,99,92,2.62,1551308606
131,Villamontes,BO,67.11,85,92,2.51,1551308606
132,Caravelas,BR,83.58,100,80,17.05,1551308607
133,Abnub,EG,53.6,54,0,9.17,1551304800
134,Faya,SA,66.2,48,0,11.41,1551304800
135,Calabasas,US,64.4,63,75,11.41,1551308337
136,Nova Londrina,BR,69.63,98,92,4.97,1551308570
137,Kaohsiung,TW,73.4,73,75,5.82,1551308116
138,Souillac,FR,54.0,76,0,11.41,1551308589
139,Forrest City,US,62.6,72,88,3.18,1551308492
140,Solano,PH,64.72,83,36,3.18,1551308609
141,Searcy,US,64.4,63,1,8.05,1551308591
142,Puerto Carreno,CO,96.8,37,20,4.7,1551304800
143,Lagoa,PT,55.99,87,0,6.93,1551308531
144,East London,ZA,69.09,100,8,13.91,1551308572
145,Clyde River,CA,-18.41,82,5,14.99,1551304800
146,Kuandian,CN,23.28,62,0,2.39,1551308612
147,Paamiut,GL,35.43,77,64,9.1,1551308612
148,Hay River,CA,17.6,57,20,12.75,1551304800
149,San Cristobal,EC,64.4,72,75,13.87,1551308461
150,Hakodate,JP,30.2,74,75,6.93,1551304800
151,Lakes Entrance,AU,82.99,44,0,5.99,1551308407
152,Luderitz,NA,62.34,73,0,20.4,1551308614
153,Ancud,CL,60.8,67,0,5.82,1551304800
154,Bredy,RU,-0.98,64,20,7.43,1551308615
155,Fortuna,ES,54.0,76,0,3.36,1551308615
156,Axim,GH,82.99,98,76,10.89,1551308615
157,Mandera,ET,80.01,21,0,4.0,1551308427
158,Prince Rupert,CA,51.8,25,1,4.7,1551304800
159,Sioux Lookout,CA,12.2,60,90,17.22,1551307740
160,Mayumba,GA,80.2,97,64,5.64,1551308616
161,Coquimbo,CL,66.2,72,0,11.41,1551304800
162,Maceio,BR,80.6,78,20,9.17,1551304800
163,Bure,NG,77.05,57,92,2.62,1551308617
164,Saskylakh,RU,-19.7,55,64,3.18,1551308618
165,Richards Bay,ZA,70.35,100,92,2.95,1551308618
166,Itarema,BR,77.37,95,92,1.39,1551308618
167,Cidreira,BR,67.74,91,68,8.1,1551308619
168,Buraydah,SA,60.8,55,75,4.7,1551304800
169,Fougeres,FR,53.01,81,0,9.17,1551308525
170,Kavieng,PG,80.02,100,80,6.53,1551308619
171,Hilo,US,73.0,68,90,13.87,1551308609
172,Lasa,CY,57.2,62,40,16.11,1551306600
173,Pedernales,EC,78.45,76,48,6.08,1551308620
174,Pacific Grove,US,66.99,55,20,9.17,1551308603
175,Ponta do Sol,BR,69.04,93,44,1.5,1551308620
176,Bordighera,IT,51.01,81,20,8.05,1551308592
177,Bredasdorp,ZA,66.2,63,80,13.87,1551307501
178,Dunedin,NZ,55.99,53,48,8.01,1551308139
179,Chenghai,CN,62.6,100,64,12.24,1551304800
180,Sokolo,ML,59.14,28,0,12.91,1551308622
181,Arraial do Cabo,BR,82.4,74,75,3.36,1551304800
182,Nagato,JP,48.2,100,90,1.12,1551308186
183,Matagami,NG,66.25,98,88,5.08,1551308623
184,Cairns,AU,80.01,83,40,12.75,1551307875
185,Barabinsk,RU,14.55,81,56,9.66,1551308623
186,Borba,PT,41.01,80,0,3.51,1551308623
187,Tuktoyaktuk,CA,-0.41,77,20,13.87,1551304800
188,Clearlake,US,59.0,76,90,13.87,1551308328
189,Chuy,UY,61.17,83,0,5.19,1551308624
190,Victoria,BN,75.2,94,75,8.43,1551306600
191,Douglas,US,69.8,13,1,6.98,1551308579
192,Florence,US,71.6,40,40,3.36,1551308575
193,Klaksvik,FO,35.6,93,0,10.29,1551306000
194,Kahului,US,79.0,47,40,14.99,1551308163
195,Tikhvin,RU,32.0,91,88,3.0,1551308440
196,Khash,IR,49.38,60,0,17.83,1551308626
197,Sampit,ID,77.01,96,64,4.74,1551308626
198,Nanortalik,GL,34.89,91,48,52.28,1551308626
199,Upernavik,GL,5.19,100,0,22.3,1551308627
200,Balfour,CA,30.0,46,80,1.01,1551306790
201,Atikokan,CA,6.99,59,24,7.54,1551308627
202,Hirara,JP,71.6,94,75,5.82,1551304800
203,Dingle,PH,76.65,71,0,11.45,1551308628
204,Mahibadhoo,MV,81.42,100,12,4.18,1551308628
205,Banda Aceh,ID,74.67,100,56,2.73,1551308628
206,Kabo,CF,77.05,57,24,4.41,1551308629
207,Lavrentiya,RU,31.47,96,92,39.86,1551308632
208,Xining,CN,15.0,90,68,2.17,1551308439
209,Neuquen,AR,80.6,26,0,2.24,1551304800
210,Longyearbyen,NO,3.2,65,75,11.41,1551304200
211,Shetpe,KZ,27.55,91,88,2.84,1551308633
212,La Rioja,AR,70.8,73,8,0.49,1551308633
213,Migori,KE,67.92,87,36,7.31,1551308633
214,Mitchell,US,8.6,60,1,9.17,1551308405
215,Sao Joao da Barra,BR,82.4,74,0,16.11,1551304800
216,Balung,ID,78.09,100,68,2.06,1551308634
217,Flin Flon,CA,19.4,67,75,14.99,1551307320
218,Escanaba,US,19.99,92,90,2.39,1551308399
219,Pevek,RU,11.4,75,0,21.3,1551308634
220,Kushima,JP,57.2,100,75,8.05,1551308597
221,Rome,IT,53.01,64,0,4.7,1551308463
222,Yar-Sale,RU,3.03,82,48,20.62,1551308636
223,Redlands,US,68.0,45,1,8.05,1551308406
224,Katsuura,JP,46.4,87,90,9.17,1551307340
225,Mae Ramat,TH,67.47,89,0,2.06,1551308636
226,Bull Savanna,JM,76.38,61,20,6.64,1551308637
227,Aksu,KZ,19.4,92,90,4.85,1551306600
228,Lebu,ET,62.6,33,0,6.93,1551304800
229,Kodiak,US,21.99,34,1,12.75,1551308617
230,Belaya Gora,RU,-11.65,56,68,4.18,1551308638
231,Kailua,US,75.2,78,40,17.22,1551308597
232,Baia de Arama,RO,33.01,64,0,1.99,1551308415
233,Geraldton,CA,12.2,51,40,9.17,1551304800
234,Hithadhoo,MV,81.55,100,68,9.22,1551308640
235,Rawson,AR,63.42,45,0,10.78,1551308489
236,Rendsburg,DE,46.0,80,0,6.93,1551308580
237,Beloha,MG,71.16,90,12,1.95,1551308640
238,Balabac,PH,79.57,99,0,13.24,1551308641
239,Bo Rai,TH,86.0,90,0,2.73,1551308598
240,Eching,DE,43.0,75,0,3.36,1551308619
241,Ranipur,IN,52.71,93,0,5.64,1551308644
242,Nuuk,GL,11.22,100,24,8.43,1551308645
243,Erenhot,CN,14.46,69,64,3.4,1551308645
244,Dikson,RU,-0.4,95,48,34.83,1551308646
245,Ponta Pora,BR,71.6,94,90,2.95,1551304800
246,Aklavik,CA,17.6,85,5,4.7,1551304800
247,Micheweni,TZ,82.68,100,64,10.67,1551308646
248,Fort-Shevchenko,KZ,31.2,100,68,4.52,1551308646
249,Makakilo City,US,75.2,53,75,10.29,1551308185
250,Keti Bandar,PK,69.81,98,0,4.97,1551308647
251,Panguna,PG,81.19,82,100,4.29,1551308647
252,Turukhansk,RU,-11.83,74,12,3.29,1551308647
253,Sterling,US,39.99,64,75,8.05,1551308494
254,Vilhena,BR,71.6,94,75,2.24,1551304800
255,Grand Gaube,MU,81.0,83,40,8.05,1551308641
256,Marawi,PH,68.0,79,0,8.99,1551308403
257,Ambovombe,MG,74.17,99,8,5.19,1551308649
258,Malanje,AO,66.48,97,76,2.62,1551308649
259,Amapa,HN,86.0,55,20,14.99,1551304800
260,Mount Isa,AU,82.4,45,0,9.17,1551306600
261,Comodoro Rivadavia,AR,68.0,37,0,8.05,1551304800
262,Shimoda,JP,50.0,76,75,3.36,1551308411
263,Sivas,TR,19.4,92,75,12.75,1551304200
264,Kavaratti,IN,82.5,100,8,13.35,1551308660
265,Cascais,PT,57.0,76,20,11.41,1551308629
