,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date
266,Sangre Grande,TT,78.01,88,75,16.11,1551308443
267,Opuwo,NA,64.72,78,48,1.95,1551308661
268,Manacor,ES,57.99,100,40,2.24,1551308095
269,Sinnamary,GF,79.8,92,92,13.35,1551308661
270,Nouadhibou,MR,69.8,43,0,6.93,1551304800
271,Lumsden,CA,17.01,66,20,21.92,1551308575
272,Ilulissat,GL,26.6,45,5,17.22,1551304200
273,Morgan City,US,70.0,100,90,3.36,1551308606
274,Ola,RU,2.89,100,56,9.44,1551308470
275,Nacozari,MX,81.0,36,20,7.43,1551308416
276,Necochea,AR,60.01,67,80,5.99,1551308186
277,Mangrol,IN,43.71,88,0,2.73,1551308663
278,Antonina,BR,66.0,100,90,6.93,1551308384
279,Ouadda,CF,68.28,97,92,4.97,1551308663
280,Saldanha,PT,34.84,80,8,2.28,1551308663
281,San Patricio,PY,71.25,54,36,5.41,1551308664
282,Ruteng,ID,76.74,94,0,3.51,1551308664
283,Dyurtyuli,RU,17.79,88,88,10.45,1551308664
284,Rundu,NA,73.23,54,44,3.29,1551308664
285,Soyo,AO,77.14,96,80,2.17,1551308665
286,Villa Carlos Paz,AR,77.0,61,20,9.17,1551304800
287,Muisne,EC,84.2,83,40,4.7,1551304800
288,Newport,GB,50.0,70,0,4.7,1551308646
289,Remontnoye,RU,30.2,100,88,6.71,1551306600
290,Ongandjera,NA,77.14,49,92,8.66,1551308666
291,Tautira,PF,87.8,66,75,5.82,1551308594
292,Berlevag,NO,23.0,62,75,21.92,1551304200
293,Russell,AR,86.0,20,0,9.17,1551304800
294,Balkhash,KZ,30.52,96,92,11.56,1551308667
295,Labuhan,ID,77.73,88,48,1.95,1551308668
296,Henties Bay,NA,64.99,80,0,1.01,1551308529
297,Severo-Kurilsk,RU,26.16,100,68,21.97,1551308668
298,Mount Gambier,AU,66.2,93,40,3.36,1551306840
299,Torbay,CA,24.01,85,75,28.86,1551308609
300,Funadhoo,MV,80.79,100,20,4.52,1551308669
301,Jinchang,CN,-3.82,40,12,2.39,1551308669
302,Saint-Joseph,FR,50.0,93,90,2.24,1551308484
303,Esperance,TT,78.01,88,75,16.11,1551308443
304,Sunrise Manor,US,71.6,19,1,20.8,1551308424
305,Stargard Szczecinski,PL,43.0,64,0,2.24,1551308277
306,Winnemucca,US,54.0,54,44,1.99,1551308473
307,Maldonado,UY,71.6,37,0,5.82,1551304800
308,Cherskiy,RU,-0.35,74,80,6.98,1551308671
309,Oistins,BB,78.8,74,40,16.11,1551304800
310,Qasigiannguit,GL,26.6,45,5,17.22,1551304200
311,Tilichiki,RU,4.56,75,68,3.74,1551308671
312,Tipaturu,IN,56.49,83,0,2.73,1551308671
313,Blackwater,GB,51.01,100,0,1.12,1551308671
314,Chernyshevskiy,RU,9.78,79,64,4.63,1551308672
315,Launceston,AU,64.99,72,92,6.93,1551308468
316,Fokino,RU,25.08,89,68,11.68,1551308673
317,Sibolga,ID,69.63,99,88,2.17,1551308673
318,Tiznit,MA,52.44,89,0,4.52,1551308673
319,Dryden,CA,8.6,60,90,17.22,1551307740
320,Cravo Norte,CO,90.15,35,0,8.55,1551308673
321,Moose Factory,CA,14.0,51,1,8.05,1551304800
322,Kayes,ML,68.05,27,0,12.8,1551308674
323,Santa Cruz,US,63.0,67,90,9.17,1551308651
324,Norfolk,US,46.99,81,90,4.74,1551308498
325,Orumiyeh,IR,37.4,69,20,2.24,1551304800
326,Sungairaya,ID,75.34,99,68,3.85,1551308574
327,Galesong,ID,75.2,100,20,4.7,1551303000
328,Bambanglipuro,ID,73.99,98,24,3.29,1551308677
329,Westport,IE,43.0,92,24,3.0,1551308583
330,Ridgecrest,US,71.6,28,40,20.8,1551308389
331,Gravdal,NO,42.8,87,88,14.99,1551308642
332,Eyl,SO,70.12,100,20,3.96,1551308678
333,Srednekolymsk,RU,-10.21,69,76,4.97,1551308678
334,Biltine,TD,79.08,32,36,9.22,1551308678
335,Green River,US,37.99,100,90,10.29,1551308471
336,Abu Samrah,SY,48.03,97,92,16.26,1551308679
337,Port Blair,IN,82.59,100,0,10.22,1551308542
338,Sosva,RU,9.06,83,76,5.64,1551308679
339,Jambi,ID,74.62,98,88,3.85,1551308519
340,Dullewala,PK,39.93,80,0,3.51,1551308680
341,Yumen,CN,10.05,56,0,4.18,1551308680
342,Upata,VE,82.0,67,48,5.99,1551307521
343,Port Lincoln,AU,71.97,89,12,6.98,1551308681
344,Carnarvon,ZA,54.1,42,0,5.19,1551308681
345,Shache,CN,37.0,76,0,3.06,1551308440
346,Ucluelet,CA,41.0,41,90,5.82,1551308477
347,Dolores,UY,67.92,53,0,10.22,1551308682
348,Roebourne,AU,80.74,86,36,5.64,1551308682
349,Burnie,AU,68.0,71,88,11.01,1551308644
350,Devils Lake,US,6.8,77,20,10.29,1551306900
351,Vestmanna,FO,35.6,93,0,10.29,1551306000
352,Matara,PE,46.41,93,92,2.17,1551308683
353,Khani,GE,39.2,100,90,4.7,1551306600
354,Taoudenni,ML,53.79,28,0,12.35,1551308684
355,Coahuayana,MX,84.97,25,0,2.62,1551308684
356,Sisimiut,GL,-5.26,53,0,5.41,1551308684
357,Mahina,ML,71.02,28,76,13.24,1551308684
358,Port Shepstone,ZA,70.89,93,92,1.16,1551308684
359,Cockburn Town,TC,77.37,99,0,21.74,1551308661
360,Codrington,AU,77.0,83,40,5.82,1551308502
361,Teya,MX,95.0,28,75,11.41,1551308450
362,Sao Filipe,CV,72.78,86,0,16.49,1551308685
363,Pierre,US,14.0,60,1,8.05,1551308614
364,The Valley,AI,78.8,65,40,13.87,1551308556
365,Puerto Baquerizo Moreno,EC,80.6,83,75,3.36,1551304800
366,Rongcheng,CN,33.49,85,24,4.07,1551308686
367,Rumoi,JP,19.4,73,75,12.75,1551304800
368,Adeje,NG,77.05,95,80,2.84,1551308687
369,Grindavik,IS,41.0,86,75,21.92,1551306660
370,Vanavara,RU,18.69,92,80,4.63,1551308687
371,Nuqui,CO,86.0,70,75,5.82,1551304800
372,Boulder,US,36.0,74,90,4.7,1551308611
373,Merauke,ID,82.0,99,64,7.99,1551308545
374,Griffith,AU,82.0,44,36,17.22,1551308416
375,Horodyshche,UA,32.0,86,0,6.71,1551306600
376,Wasilla,US,30.2,58,1,2.62,1551308615
377,Sugar Hill,US,68.0,72,90,6.93,1551308619
378,Barabai,ID,76.87,93,88,1.83,1551308689
379,Takoradi,GH,82.77,97,88,8.21,1551308689
380,Umm Lajj,SA,61.3,100,76,6.2,1551308689
381,Ketchikan,US,51.8,60,1,16.11,1551304560
382,Bilibino,RU,-6.38,68,64,2.73,1551308690
383,Rocha,UY,57.03,64,0,5.64,1551308690
384,Aswan,EG,52.75,70,36,5.41,1551308690
385,Sao Miguel do Araguaia,BR,77.59,86,32,4.41,1551308437
386,Sinop,TR,40.65,100,88,12.24,1551308690
387,Poum,MK,16.12,78,0,0.94,1551308691
388,Nicoya,CR,91.4,41,0,21.92,1551308478
389,Itupiranga,BR,78.8,94,20,1.12,1551304800
390,Poronaysk,RU,25.08,68,0,5.3,1551308691
391,Fukue,JP,48.0,87,75,8.05,1551308482
392,Storforshei,NO,37.4,86,75,10.29,1551306000
393,Tucuman,PE,62.61,83,48,2.95,1551308692
394,Sarakhs,TM,57.2,41,92,6.93,1551304800
395,Taos,US,46.4,30,0,16.11,1551306900
396,Valcourt,CA,9.0,46,90,2.17,1551308530
397,Edson,CA,26.6,63,40,14.99,1551304800
398,Jumla,NP,12.21,84,32,1.95,1551308693
399,Puerto Madryn,AR,64.23,72,0,5.97,1551308693
400,Pecanha,BR,74.62,73,56,3.4,1551308693
401,Hovd,NO,42.01,86,75,31.09,1551308672
402,Sunbury,US,36.0,47,90,8.05,1551308690
403,San Andres,PH,78.04,100,0,12.46,1551308694
404,Saint-Augustin,FR,55.4,87,0,9.17,1551308589
405,Namibe,AO,77.55,100,24,2.17,1551308695
406,Jose Bonifacio,BR,77.0,78,75,8.05,1551304800
407,Coihaique,CL,66.2,45,0,4.7,1551304800
408,Inuvik,CA,17.6,61,5,9.17,1551304800
409,Walvis Bay,NA,64.99,68,0,4.7,1551304929
410,Guerrero Negro,MX,63.64,60,0,13.8,1551308696
411,Isangel,VU,79.89,100,88,19.62,1551308696
412,Grand-Lahou,CI,77.55,93,8,5.75,1551308696
413,Faanui,PF,83.94,98,76,11.12,1551308697
414,Doka,SD,78.9,45,8,12.8,1551308697
415,Baykit,RU,15.4,84,64,3.74,1551308697
416,Sompeta,IN,66.7,97,12,1.61,1551308697
417,Dzhebariki-Khaya,RU,-18.76,52,20,2.62,1551308698
418,Pitimbu,BR,80.6,83,0,8.05,1551304800
419,At-Bashi,KG,-7.1,78,0,2.28,1551308698
420,Riyadh,SA,75.2,41,75,6.93,1551304800
421,Elbrus,RU,6.72,94,68,1.61,1551308698
422,Aksarka,RU,5.46,81,68,16.93,1551308699
423,Bontang,ID,82.0,92,0,12.8,1551308699
424,Bondowoso,ID,78.27,86,0,3.4,1551308469
425,Naze,NG,71.47,97,64,1.5,1551308699
426,Havoysund,NO,21.2,73,40,23.04,1551306000
427,Kahone,SN,69.22,16,0,10.78,1551308700
428,Zhiryatino,RU,26.52,93,88,12.24,1551308700
429,Bereda,ES,51.01,87,0,5.82,1551308638
430,Natal,BR,82.4,74,20,9.17,1551304800
431,Boueni,YT,82.4,83,90,11.41,1551306600
432,Correntina,BR,70.8,95,36,1.61,1551308702
433,Buxtehude,DE,46.99,81,0,4.7,1551308636
434,Bundaberg,AU,81.0,60,90,13.87,1551308409
435,Half Moon Bay,US,63.0,67,75,11.41,1551308699
436,Sitka,US,19.0,66,12,10.0,1551308477
437,Kearney,US,14.0,61,1,9.17,1551308536
438,Parrita,CR,78.8,56,75,19.46,1551308529
439,Port Macquarie,AU,75.0,82,90,5.82,1551308404
440,Vao,EE,32.19,87,32,9.66,1551308705
441,East Wenatchee Bench,US,32.0,68,90,16.11,1551308555
442,Carballo,ES,54.0,93,75,4.7,1551308704
443,Chillan,CL,87.8,20,0,5.82,1551307876
444,Korhogo,CI,74.17,27,20,11.34,1551308706
445,Khartoum,SD,82.4,22,0,14.99,1551306600
446,Doha,QA,69.8,60,0,6.93,1551306600
447,Byron Bay,AU,71.01,88,75,11.41,1551308502
448,Cuamba,MZ,71.2,80,32,2.73,1551308706
449,Vardo,US,39.99,71,75,8.05,1551308443
450,Ibra,OM,51.54,87,0,0.6,1551308707
451,Bondo,CD,73.0,95,76,2.17,1551308708
452,Khandyga,RU,-18.76,52,20,2.62,1551308708
453,Tomatlan,MX,79.26,69,0,4.41,1551308569
454,Providencia,CO,69.8,77,40,8.05,1551304800
455,Urubicha,BO,70.89,89,56,2.06,1551308710
456,Uruzgan,AF,1.41,58,44,2.17,1551308711
457,Jalu,LY,47.85,87,0,8.77,1551308613
458,Ambon,FR,52.0,87,0,10.29,1551308671
459,Chumikan,RU,15.04,59,0,9.1,1551308712
460,Cooma,AU,62.6,77,32,11.41,1551304800
461,Dingzhou,CN,33.8,59,0,2.24,1551304800
462,Boyolangu,ID,73.45,96,0,3.96,1551308713
463,Cape Canaveral,US,73.4,78,1,4.7,1551308457
464,Porto Belo,BR,70.0,88,75,3.36,1551308704
465,Suoyarvi,RU,32.46,95,92,6.2,1551308714
466,Upington,ZA,69.8,19,0,5.82,1551304800
467,Assiniboia,CA,12.57,78,0,12.8,1551308714
468,Sistranda,NO,42.01,80,75,23.04,1551308349
469,Mikuni,JP,41.0,93,90,3.36,1551304800
470,Vila Velha,BR,81.0,78,40,3.36,1551308602
471,Ust-Omchug,RU,-4.4,58,48,2.73,1551308715
472,Lincoln,GB,48.2,93,0,2.24,1551308702
473,Chimbote,PE,74.17,82,0,5.41,1551308719
474,Udachnyy,RU,6.54,74,68,4.18,1551308719
475,Marsa Matruh,EG,51.99,71,48,17.27,1551308719
476,Kilindoni,TZ,82.9,100,48,7.76,1551308720
477,Nakhon Thai,TH,66.07,97,0,2.39,1551308720
478,Tessalit,ML,53.74,22,20,13.47,1551308720
479,Ziro,IN,42.72,99,92,1.16,1551308720
480,Mehamn,NO,23.0,57,40,21.92,1551304200
481,Sorland,NO,38.35,100,80,27.22,1551308721
482,Severomuysk,RU,0.78,86,32,1.95,1551308721
483,Saint Simons,US,68.0,77,90,4.18,1551308578
484,Chapais,CA,5.0,60,1,6.93,1551304800
485,Devrek,TR,36.78,100,92,4.97,1551308722
486,Koumac,NC,81.33,74,0,9.44,1551308722
487,Jackson,US,68.0,55,90,4.7,1551308100
488,Brigantine,US,35.6,84,90,4.7,1551308714
489,Rio Grande,BR,71.6,64,0,3.36,1551303900
490,Noumea,NC,77.0,69,75,20.8,1551306600
491,Kotra,IN,52.84,94,0,5.75,1551308723
492,Ambam,NG,66.25,98,88,5.08,1551308723
493,Luoyang,CN,29.49,77,0,2.39,1551308723
494,Sonqor,IR,44.6,84,75,6.93,1551306600
495,Kalabo,ZM,72.96,57,32,4.52,1551308724
496,Baghdad,IQ,55.4,87,75,2.24,1551304800
497,Yuanping,CN,19.59,73,0,2.17,1551308724
498,Ercis,TR,36.0,74,75,6.93,1551304200
499,Luganville,VU,80.29,100,80,15.14,1551308725
500,Sault Sainte Marie,CA,15.8,72,90,2.28,1551308160
501,Khorixas,NA,68.59,43,0,3.18,1551308725
502,Beya,RU,15.04,73,88,2.39,1551308726
503,Ozernovskiy,RU,23.46,84,76,18.5,1551308726
504,Padang,ID,77.0,100,40,1.12,1551304800
505,Verrettes,HT,86.0,51,40,8.05,1551304800
506,Antofagasta,CL,73.4,60,20,11.41,1551304800
507,Kaduqli,SD,78.54,25,68,10.11,1551308727
508,Kirkland Lake,CA,6.8,71,75,8.05,1551304800
509,Manadhoo,MV,80.79,100,20,4.52,1551308728
510,Flinders,AU,80.01,73,75,5.82,1551308721
511,Llangefni,GB,46.99,93,0,2.24,1551308719
512,Koslan,RU,8.02,71,68,5.3,1551308729
513,Ryotsu,JP,39.2,100,75,2.24,1551304800
514,Tabuk,PH,63.19,88,0,2.17,1551308729
515,Anadyr,RU,26.6,92,75,13.42,1551308599
516,Hokitika,NZ,60.54,84,0,3.62,1551308730
517,Shymkent,KZ,46.4,49,0,15.66,1551306600
518,Ulladulla,AU,75.0,73,75,5.82,1551308500
519,Tarpon Springs,US,71.6,94,75,4.85,1551308451
520,Ojinaga,US,80.6,10,1,3.36,1551308434
521,Sayyan,YE,43.71,82,0,1.39,1551308731
522,Maharajganj,IN,59.14,94,92,5.19,1551308731
523,Barkot,IN,33.63,92,24,2.06,1551308731
524,Makhachkala,RU,39.2,86,75,8.95,1551306600
525,Weihe,CN,35.65,98,92,2.06,1551308732
526,Ngozi,BI,56.04,91,36,2.84,1551308732
527,Mwinilunga,ZM,66.57,78,24,1.83,1551308732
528,Vila Franca do Campo,PT,60.8,100,75,13.87,1551308714
529,Guider,CM,75.21,50,36,5.64,1551308733
530,Pangnirtung,CA,6.8,38,5,6.93,1551304800
531,Waingapu,ID,79.57,93,12,3.62,1551308733
